name|price|URL|description|category|color|material|size|rating
Beanie|24.99|/clothes/beanie.jpg|Cozy grey beanie for cold weather. Material: Acrylic. Color: Grey. Sizes Available: One Size|Accessory|Grey|Acrylic|One Size|4.1
Bangles|49.99|/clothes/bangles.jpg|Golden bangles with intricate design, perfect for special occasions. Material: Gold-Plated. Color: Gold. Sizes Available: One Size|Accessory|Gold|Metal|One Size|4.3
Earmuffs|19.99|/clothes/earmuffs.jpg|Warm black earmuffs for winter protection. Material: Faux Fur. Color: Black. Sizes Available: One Size|Accessory|Black|Faux Fur|One Size|4.0
Necklace|89.99|/clothes/necklace.jpg|Simple diamond necklace, perfect for everyday elegance. Material: Sterling Silver. Color: Silver. Sizes Available: One Size|Accessory|Silver|Metal|One Size|4.6
Plain Sweater|39.99|/clothes/plainSweater.jpg|A classic black sweater, perfect for layering or wearing on its own. Material: Soft Cotton Blend. Color: Black. Sizes Available: S, M, L|Sweater|Black|Cotton|Small,Medium,Large|4.0
Purse|159.99|/clothes/purse.jpg|Fancy black and white purse for a sophisticated look. Material: Leather. Color: Black/White. Sizes Available: One Size|Accessory|Black,White|Leather|One Size|4.9
Sandals|34.99|/clothes/sandles.jpg|Comfortable beach sandals in a warm orange-beige tone. Material: Synthetic. Color: Tan/Orange. Sizes Available: 6,7,8,9|Shoes|Tan|Synthetic|6,7,8,9|3.8
Shoulder Bag|79.99|/clothes/shoulderBag.jpg|Versatile shoulder bag for everyday use. Material: Canvas. Color: Brown. Sizes Available: One Size|Accessory|Brown|Canvas|One Size|4.4
White Shirt|34.99|/clothes/shirt.jpg|A crisp white button-down shirt, essential for any wardrobe. Material: Cotton. Color: White. Sizes Available: S, M, L|Shirt|White|Cotton|Small,Medium,Large|4.5
Sneakers|79.99|/clothes/sneakers.jpg|Comfortable running sneakers for athletic and casual wear. Material: Mesh & Rubber. Color: White/Grey. Sizes Available: 7,8,9,10|Shoes|White,Grey|Mesh,Rubber|7,8,9,10|4.8
Watch|129.99|/clothes/watch.jpg|Elegant silver watch with classic design. Material: Stainless Steel. Color: Silver. Sizes Available: One Size|Accessory|Silver|Metal|One Size|4.7
Ripped Jeans|49.99|/clothes/rippedJean.jpg|Stylish light blue ripped jeans for a trendy casual look. Material: Denim. Color: Light Blue. Sizes Available: S, M, L|Jeans|Blue|Denim|Small,Medium,Large|4.2
